LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
49.238138,-123.07429,Fountain location:Kensington Park,between baseball diamond and parking lots,Parks,spring to fall,,
49.233331,-123.1572,Fountain location:Kerrisdale Centennial Park,2nd N-side entrance,Parks,spring to fall,,
49.227059,-123.041882,Fountain location:Killarney Park,in front of wading pool,Parks,spring to fall,,Killarney Park - drinking fountain 1 - 2005.JPG
49.229195,-123.045343,Fountain location:Killarney Park,north plaza,Parks,spring to fall,,Killarney Park - drinking fountain 2 - 2005.JPG
49.247325,-123.074579,Fountain location:Kingcrest Park,E-side of washroom,Parks,spring to fall,,Kingcrest Park - drinking fountain - 2005.JPG
49.276739,-123.151743,Fountain location:Kitsilano Beach Park,besides parking lot,Parks,spring to fall,,
49.27438557,-123.1538271,Fountain location:Kitsilano Beach Park,opposite washrooms,Parks,spring to fall,,
49.275753,-123.152287,Fountain location:Kitsilano Beach Park,besides playground,Parks,spring to fall,,
49.2237851,-123.112543,Fountain location:Langara Golf Course,clubhouse building ,Parks,spring to fall,,
49.2194057,-123.106335,Fountain location:Langara Golf Course,56th and Ontario,Parks,spring to fall,,
49.21816719,-123.1117212,Fountain location:Langara Golf Course,servive yard,Parks,spring to fall,,
49.2230752,-123.116336,Fountain location:Langara Golf Course,cambie pathway,Parks,spring to fall,,
49.274969,-123.207164,Fountain location:Locarno Beach Park,near concessions,Parks,spring to fall,,
49.22997,-123.098511,Fountain location:MacDonald Park,near NW corner of tennis court,Parks,spring to fall,,
49.2788422,-123.089442,Fountain location:Maclean Park,,Parks,,,
49.2615753,-123.107009,Fountain location:Major Matthews Park,,Parks,,,
49.22318,-123.159702,Fountain location:Maple Grove Park,E-side of pool,Parks,spring to fall,,
49.223507,-123.160831,Fountain location:Maple Grove Park,S-side of baseball dimond,Parks,spring to fall,,
49.205624,-123.138958,Fountain location:Marpole Park,west entrance to playground,Parks,spring to fall,,Marpole Park - drinking fountain - 2005.JPG
49.267923,-123.180134,Fountain location:McBride Park,S of playground,Parks,spring to fall,,McBride Park - drinking fountain - 2007.JPG
49.2203778,-123.170895,Fountain location:McCleery Golf Course,5th tee,Parks,spring to fall,,
49.22063286,-123.1707399,Fountain location:McCleery Golf Course,servive yard,Parks,spring to fall,,
49.2209551,-123.167863,Fountain location:McCleery Golf Course,clubhouse building ,Parks,spring to fall,,
49.2205907,-123.169628,Fountain location:McCleery Golf Course,driving range ,Parks,spring to fall,,
49.236424,-123.029107,Fountain location:Melbourne Park,front of tennis courts,Parks,spring to fall,,Melbourne Park - drinking fountain - 2005.JPG
49.23134082,-123.0869223,Fountain location:Memorial South Park,W-side of wading pool,Parks,year-round,,
49.23152293,-123.0847723,Fountain location:Memorial South Park,,Parks,,,
49.243358,-123.187296,Fountain location:Memorial West Park,S of tennis courts,Parks,spring to fall,,
49.214828,-123.084599,Fountain location:Moberly Park,in front of tennis courts,Parks,spring to fall,,
49.2153386,-123.0872,Fountain location:Moberly Park,,Parks,,,
49.287429,-123.142264,Fountain location:Morton Park,,Parks,spring to fall,,
49.273192,-123.074217,Fountain location:Mosaic Creek Park,near children's play area,Parks,spring to fall,,
49.256865,-123.106446,Fountain location:Mount Pleasant Park,S-side of wading pool,Parks,spring to fall,,
49.228277,-123.05692,Fountain location:Nanaimo Park,in front of wading pool,Parks,spring to fall,,Nanaimo Park - drinking fountain - 2005.JPG
49.282838,-123.129981,Fountain location:Nelson Park,middle of park,Parks,spring to fall,,Nelson Park - drinking fountain - 2006.JPG
49.289431,-123.038691,Fountain location:New Brighton Park,SW of playground,Parks,spring to fall,,New Brighton - drinking fountain 1 - 2007.JPG
49.289268,-123.036666,Fountain location:New Brighton Park,W-side of pool,Parks,spring to fall,,New Brighton - drinking fountain 2 - 2007.JPG
49.28959,-123.035531,Fountain location:New Brighton Park,W-side of tennis courts,Parks,spring to fall,,
49.238173,-123.050828,Fountain location:Norquay Park,front of wading pool,Parks,spring to fall,,
49.216585,-123.127387,Fountain location:Oak Park,In spray park,Parks,spring to fall,,Oak Park - drinking fountain 1 - 2007.JPG
49.216882,-123.128155,Fountain location:Oak Park,East side of fieldhouse,Parks,spring to fall,,Oak Park - drinking fountain 3 - 2007.JPG
49.216607,-123.129122,Fountain location:Oak Park,Near parking lot,Parks,spring to fall,,Oak Park - drinking fountain 2 - 2007.JPG
49.282901,-123.094057,Fountain location:Oppenheimer Park,,Parks,,,
49.28287,-123.057199,Fountain location:Pandora Park,N-side of wading pool,Parks,spring to fall,,
49.2710507,-123.110206,Fountain location:Park Site On South East False Creek - Hinge,,Parks,,,
49.2816629,-123.104505,Fountain location:Pioneer Place (Pigeon Park),,Parks,,,
49.23742,-123.105621,Fountain location:Queen Elizabeth Park,37th and Ontario,Parks,spring to fall,,Queen Elizabeth Park - drinking fountain 1 - 2006.JPG
49.242275,-123.113543,Fountain location:Queen Elizabeth Park,At Conservatory,Parks,spring to fall,,Queen Elizabeth Park (Ontario Greenway) - drinking fountain 2 - 2006.JPG
49.239167,-123.111542,Fountain location:Queen Elizabeth Park,Pitch and Putt Course,Parks,year-round,,
49.24462,-123.148828,Fountain location:Quilchena Park,W-side of fieldhouse,Parks,spring to fall,,
49.25211,-123.042086,Fountain location:Renfrew Community Park,adjacent to wading pool,Parks,spring to fall,,Renfrew Park - drinking fountain - 2007.JPG
49.205755,-123.051817,Fountain location:Riverfront Park,E-side of washrooms,Parks,spring to fall,,
49.205739,-123.050981,Fountain location:Riverfront Park,w-side of tennis courts,Parks,spring to fall,,
49.257792,-123.091912,Fountain location:Robson Park,N-side of wading pool,Parks,spring to fall,,
49.216947,-123.082635,Fountain location:Ross Park,near shelter,Parks,spring to fall,,
49.216811,-123.082434,Fountain location:Ross Park,in front of wading pool,Parks,spring to fall,,
49.273071,-123.030636,Fountain location:Rupert Park,S-side of golf entrance booth,Parks,spring to fall,,Rupert Park - drinking fountain 2 - 2007.JPG
49.27112,-123.033079,Fountain location:Rupert Park,E-side of playground,Parks,spring to fall,,
49.270148,-123.030627,Fountain location:Rupert Park,E-side of Field house,Parks,spring to fall,,Rupert Park - drinking fountain 1 - 2007.JPG
49.27099,-123.146205,Fountain location:Seaforth Peace Park,S end plaza,Parks,spring to fall,,
49.25825427,-123.049751,Fountain location:Slocan Greenway ,12th and slocan ,Parks,spring to fall,,
49.244294,-123.048373,Fountain location:Slocan Park,near playground,Parks,spring to fall,,
49.277484,-123.222396,Fountain location:Spanish Banks Beach Park,on north wall of washrooms,Parks,spring to fall,,
49.303156,-123.156335,Fountain location:Stanley Park,Third beach seawall,Parks,spring to fall,,
49.2954672,-123.151056,Fountain location:Stanley Park,Second Beach pool deck,Parks,spring to fall,,
49.29487899,-123.1500274,Fountain location:Stanley Park,Second Beach,Parks,year-round,,
49.29895138,-123.1206901,Fountain location:Stanley Park,Totem poles,Parks,,,
49.31238769,-123.1427305,Fountain location:Stanley Park,prospect point washrooms,Parks,spring to fall,,
49.293007,-123.146487,Fountain location:Stanley Park,Pitch and Putt Course,Parks,,,
49.31061794,-123.1482033,Fountain location:Stanley Park,Prospect Point picnic area,Parks,spring to fall,,
49.29787035,-123.1349864,Fountain location:Stanley Park,Rose Garden playground,Parks,,,
49.292239,-123.147,Fountain location:Stanley Park,W - side of Fish House,Parks,spring to fall,,
49.29364531,-123.1487216,Fountain location:Stanley Park,Ceperley washrooms,Parks,spring to fall,,
49.29221962,-123.1460125,Fountain location:Stanley Park,near Tennis Courts & Fish House,Parks,year-round,,
49.303,-123.130695,Fountain location:Stanley Park,Lumbermen's Arch,Parks,year-round,,
49.31338243,-123.1424526,Fountain location:Stanley Park,Prospect Point viewing,Parks,spring to fall,,
49.29906298,-123.1242914,Fountain location:Stanley Park,Brockton Clubhouse,Parks,,,
49.3015616,-123.134529,Fountain location:Stanley Park,,Parks,,,
49.299024,-123.1341595,Fountain location:Stanley Park,,Parks,,,
49.29949964,-123.1338049,Fountain location:Stanley Park,pavillion outside washrooms,Parks,,,
49.29103356,-123.1453797,Fountain location:Stanley Park,Park Board Office,Parks,year-round,,
49.29964942,-123.1261535,Fountain location:Stanley Park,brockton oval,Parks,spring to fall,,
49.2995278,-123.1213001,Fountain location:Stanley Park,Legends Of The Moon - Washroom,Parks,,,
49.29252452,-123.1446767,Fountain location:Stanley Park,Beside Dog off-leash area,Parks,spring to fall,,
49.291473,-123.1469044,Fountain location:Stanley Park,Lawn Bowling,Parks,spring to fall,,
